# Licence: Creative Commons Attribution 4.0 International (CC BY 4.0) - https://creativecommons.org/licenses/by/4.0/
# Attribution: Šaltinis: Baldininkai.org viešų šaltinių Lietuvos baldų gamintojų kandidatų katalogas, https://www.baldininkai.org/atviri-duomenys/, versija 2026-08-07
# Generated: 2026-08-07
# Version: 2026-08-07
# Source: Baldininkai.org - https://www.baldininkai.org - open data: https://www.baldininkai.org/atviri-duomenys/
# Records: 1420
# Official source: Juridinių asmenų registro (Registrų centro) finansinių ataskaitų duomenys Lietuvos atvirų duomenų portale - https://data.gov.lt/datasets/1484/ - API model: datasets/gov/rc/jar/pelno_ataskaitos/PelnoAtaskaita
# Financial periods: 4652
"slug","profile_url","trading_name","legal_name","company_code","fiscal_period_start","fiscal_period_end","filing_registration_date","revenue_eur","profit_before_tax_eur","financial_source_url","financial_api_model_path","jar_entity_id","revenue_api_record_id","revenue_line_name","revenue_evidence_registration_date","profit_before_tax_api_record_id","profit_before_tax_line_name","profit_before_tax_evidence_registration_date","standard_names","template_names"
"ar-bald","https://www.baldininkai.org/gamintojas/ar-bald/","Ar Bald","UAB Ar Bald","301722834","2021-01-01","2021-12-31","2023-03-02","114448","","https://data.gov.lt/datasets/1484/","datasets/gov/rc/jar/pelno_ataskaitos/PelnoAtaskaita","47970cad-632f-4d77-bfe9-f6e3ca54839f","f80583bc-0646-4df8-ac45-90a2bb2c74e1","PARDAVIMO PAJAMOS","2023-03-02","","","","PELNO (NUOSTOLIŲ) ATASKAITA (Trumpa)","Labai mažų įmonių, taikančių išimtis, finansinių ataskaitų rinkinys"
"ar-bald","https://www.baldininkai.org/gamintojas/ar-bald/","Ar Bald","UAB Ar Bald","301722834","2020-01-01","2020-12-31","2023-03-02","37751","","https://data.gov.lt/datasets/1484/","datasets/gov/rc/jar/pelno_ataskaitos/PelnoAtaskaita","47970cad-632f-4d77-bfe9-f6e3ca54839f","b0f08c51-1b69-48c0-ae7a-66e46c99dec5","PARDAVIMO PAJAMOS","2023-03-02","","","","PELNO (NUOSTOLIŲ) ATASKAITA (Trumpa)","Labai mažų įmonių, taikančių išimtis, finansinių ataskaitų rinkinys"
"evaldo-baldai","https://www.baldininkai.org/gamintojas/evaldo-baldai/","Evaldo baldai","UAB Evaldo baldai","303053420","2024-01-01","2024-12-31","2025-06-04","750638","-92810","https://data.gov.lt/datasets/1484/","datasets/gov/rc/jar/pelno_ataskaitos/PelnoAtaskaita","66c0bb8d-c79a-4daa-a0c9-a740b839b7c1","be51cc3b-08ea-419a-94ca-02dcd0c5ce3d","PARDAVIMO PAJAMOS","2025-06-04","f5130d23-0543-4242-8cb0-c95bdc048f77","PELNAS (NUOSTOLIAI) PRIEŠ APMOKESTINIMĄ","2025-06-04","PELNO (NUOSTOLIŲ) ATASKAITA","Mažų ir labai mažų įmonių, netaikančių išimčių, finansinių ataskaitų rinkinys"
"evaldo-baldai","https://www.baldininkai.org/gamintojas/evaldo-baldai/","Evaldo baldai","UAB Evaldo baldai","303053420","2023-01-01","2023-12-31","2024-07-02","765187","17555","https://data.gov.lt/datasets/1484/","datasets/gov/rc/jar/pelno_ataskaitos/PelnoAtaskaita","66c0bb8d-c79a-4daa-a0c9-a740b839b7c1","77dcc6ed-4d9b-4eb9-93fb-345886fae018","PARDAVIMO PAJAMOS","2024-07-02","ba4fbf2c-7081-41d6-b23b-98b51e329c28","PELNAS (NUOSTOLIAI) PRIEŠ APMOKESTINIMĄ","2024-07-02","PELNO (NUOSTOLIŲ) ATASKAITA","Mažų ir labai mažų įmonių, netaikančių išimčių, finansinių ataskaitų rinkinys"
"evaldo-baldai","https://www.baldininkai.org/gamintojas/evaldo-baldai/","Evaldo baldai","UAB Evaldo baldai","303053420","2022-01-01","2022-12-31","2023-09-12","721661","20505","https://data.gov.lt/datasets/1484/","datasets/gov/rc/jar/pelno_ataskaitos/PelnoAtaskaita","66c0bb8d-c79a-4daa-a0c9-a740b839b7c1","f7a1a1e8-0cf5-47dc-957f-da39ca3b5ac2","PARDAVIMO PAJAMOS","2023-09-12","bd644e27-bc5e-4430-82a0-3fca91272d2d","PELNAS (NUOSTOLIAI) PRIEŠ APMOKESTINIMĄ","2023-09-12","PELNO (NUOSTOLIŲ) ATASKAITA","Mažų ir labai mažų įmonių, netaikančių išimčių, finansinių ataskaitų rinkinys"
"evaldo-baldai","https://www.baldininkai.org/gamintojas/evaldo-baldai/","Evaldo baldai","UAB Evaldo baldai","303053420","2021-01-01","2021-12-31","2022-08-16","506770","22642","https://data.gov.lt/datasets/1484/","datasets/gov/rc/jar/pelno_ataskaitos/PelnoAtaskaita","66c0bb8d-c79a-4daa-a0c9-a740b839b7c1","b3a2777b-bf36-4731-a068-43d32a37108c","PARDAVIMO PAJAMOS","2022-08-16","49967e45-76bc-4162-b382-e5f280637a3e","PELNAS (NUOSTOLIAI) PRIEŠ APMOKESTINIMĄ","2022-08-16","PELNO (NUOSTOLIŲ) ATASKAITA","Mažų ir labai mažų įmonių, netaikančių išimčių, finansinių ataskaitų rinkinys"
"viruna","https://www.baldininkai.org/gamintojas/viruna/","Viruna","UAB Virūna","134208094","2024-01-01","2024-12-31","2025-05-27","3653125","298748","https://data.gov.lt/datasets/1484/","datasets/gov/rc/jar/pelno_ataskaitos/PelnoAtaskaita","3264b5b5-151b-4922-b081-cbfb4bff6ff2","f42aaf65-c194-4eca-a428-bb0a534f5183","PARDAVIMO PAJAMOS","2025-05-27","f91ff2bd-3549-4784-a332-abcf8477867a","PELNAS (NUOSTOLIAI) PRIEŠ APMOKESTINIMĄ","2025-05-27","PELNO (NUOSTOLIŲ) ATASKAITA","Mažų ir labai mažų įmonių, netaikančių išimčių, finansinių ataskaitų rinkinys"
"viruna","https://www.baldininkai.org/gamintojas/viruna/","Viruna","UAB Virūna","134208094","2023-01-01","2023-12-31","2024-05-29","3705513","129275","https://data.gov.lt/datasets/1484/","datasets/gov/rc/jar/pelno_ataskaitos/PelnoAtaskaita","3264b5b5-151b-4922-b081-cbfb4bff6ff2","c9b9c496-4a07-4c3c-83e2-3fcb7224aee4","PARDAVIMO PAJAMOS","2024-05-29","93549b43-c15d-45dd-938e-962c47297996","PELNAS (NUOSTOLIAI) PRIEŠ APMOKESTINIMĄ","2024-05-29","PELNO (NUOSTOLIŲ) ATASKAITA","Mažų ir labai mažų įmonių, netaikančių išimčių, finansinių ataskaitų rinkinys"
"viruna","https://www.baldininkai.org/gamintojas/viruna/","Viruna","UAB Virūna","134208094","2022-01-01","2022-12-31","2023-05-30","3146016","11007","https://data.gov.lt/datasets/1484/","datasets/gov/rc/jar/pelno_ataskaitos/PelnoAtaskaita","3264b5b5-151b-4922-b081-cbfb4bff6ff2","e957d43f-88ca-4962-b30a-ab9ae6658925","PARDAVIMO PAJAMOS","2023-05-30","a6863593-4046-424c-ab56-7f68b2bbac1f","PELNAS (NUOSTOLIAI) PRIEŠ APMOKESTINIMĄ","2023-05-30","PELNO (NUOSTOLIŲ) ATASKAITA","Mažų ir labai mažų įmonių, netaikančių išimčių, finansinių ataskaitų rinkinys"
"viruna","https://www.baldininkai.org/gamintojas/viruna/","Viruna","UAB Virūna","134208094","2021-01-01","2021-12-31","2022-06-30","2732121","16727","https://data.gov.lt/datasets/1484/","datasets/gov/rc/jar/pelno_ataskaitos/PelnoAtaskaita","3264b5b5-151b-4922-b081-cbfb4bff6ff2","b8964950-2ae4-4cf8-82b6-d4142f1d8215","PARDAVIMO PAJAMOS","2022-06-30","420c824f-3a65-4940-b801-1ac82a4757ec","PELNAS (NUOSTOLIAI) PRIEŠ APMOKESTINIMĄ","2022-06-30","PELNO (NUOSTOLIŲ) ATASKAITA","Mažų ir labai mažų įmonių, netaikančių išimčių, finansinių ataskaitų rinkinys"
